SITE_ID,PLOT,COMMUNITY,Scientific,Common,PERCENT_COVER,ORIGIN,MAX_LH
11-012-A,1,1,Carex lyngbei,Lyngbye's sedge,60.0,N,
11-012-A,1,1,Juncus supiniformis,spreading rush,2.0,N,
11-012-A,1,1,Eleocharis palustris,common spike-rush,3.0,N,
11-012-A,1,1,Myosotis scorpiodes,European forget-me-not ,8.0,E,
11-012-A,1,1,Lycopus sp.,horehound,4.0,U,
11-012-A,1,1,Lilaeopsis occidentalis,western lilaeopsis,0.5,N,
11-012-A,1,1,Juncus articulatus,jointed rush,0.5,N,
11-012-A,1,1,Juncus oxymeris,pointed rush,1.0,T,
11-012-A,1,1,,log,18.0,,
11-012-A,1,1,Symphyotrichum subspicatum,Douglas' aster,1.0,N,
11-012-A,1,1,Equisetum fluviatile,swamp horestail,0.5,N,
11-012-A,1,1,Juncus balticus,Baltic rush ,0.5,N,
11-012-A,1,1,Rumex conglomeratus,clustered dock,1.0,E,
11-012-A,7,1,Juncus balticus,Baltic rush ,40.0,N,
11-012-A,7,1,Carex lyngbei,Lyngbye's sedge,20.0,N,
11-012-A,7,1,Symphyotrichum subspicatum,Douglas' aster,6.0,N,
11-012-A,7,1,Lycopus sp.,horehound,15.0,U,
11-012-A,7,1,Phalaris arundinacea,reed canarygrass,6.0,I,
11-012-A,7,1,Schedonorus arundinaceus,tall fescue,5.0,E,
11-012-A,7,1,Agrostis capillaris,colonial bentgrass,7.0,E,
11-012-A,7,1,Myosotis scorpiodes,European forget-me-not ,5.0,E,
11-012-A,7,1,Sium suave,water-parsnip,1.0,N,
11-012-A,7,1,Equisetum fluviatile,swamp horestail,0.5,N,
11-012-A,12,1,Phalaris arundinacea,reed canarygrass,15.0,I,
11-012-A,12,1,Carex lyngbei,Lyngbye's sedge,68.0,N,
11-012-A,12,1,Scirpus microcarpus,small-flowered bulrush,4.0,N,
11-012-A,12,1,Iris pseudacorus,yellow iris,3.0,I,
11-012-A,12,1,Galium trifidum,small bedstraw,0.5,N,
11-012-A,12,1,Equisetum fluviatile,swamp horestail,3.0,N,
11-012-A,12,1,Symphyotrichum subspicatum,Douglas' aster,5.0,N,
11-012-A,12,1,Carex utriculata,beaked sedge,35.0,N,
11-012-A,12,1,Juncus balticus,Baltic rush ,2.0,N,
11-012-A,12,1,Lythrum salicaria,purple loosestrife,0.5,I,
11-012-A,12,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,1.0,N,
11-012-A,23,1,Lythrum salicaria,purple loosestrife,20.0,I,
