Site_Number,COMMUNITY,PLOT,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH_CM,COMMENTS
08-008B,1,3B,SALIPAC,2,N,,
08-008B,1,3B,TRIGMAR,0.1,N,,
08-008B,1,3B,SPERCAN,4,N,,
08-008B,1,3B,MUD,93,,,
08-008B,1,3B,ROCK,1,,,
08-008B,1,4B,DISTSPI,15,N,,
08-008B,1,4B,SALIPAC,2,N,,
08-008B,1,4B,SPERCAN,4,N,,
08-008B,1,4B,TRIGMAR,0.1,N,,
08-008B,1,4B,ATRIPAT,1,E,,
08-008B,1,4B,MUD,70,,,
08-008B,1,4B,ROCK,8,,,
08-008B,1,4B,COTUCOR,0.1,E,,
08-008B,1,5B,DISTSPI,65,N,,
08-008B,1,5B,TRIGMAR,0.1,N,,
08-008B,1,5B,LYSIMAR,0.1,N,,
08-008B,1,5B,SALIPAC,1,N,,
08-008B,1,5B,MUD,34,,,
08-008B,1,7B,DISTSPI,30,N,,
08-008B,1,7B,ATRIPAT,1,E,,
08-008B,1,7B,SALIPAC,0.1,N,,
08-008B,1,7B,SPERCAN,1,N,,
08-008B,1,7B,PLANMAR,0.1,N,,
08-008B,1,7B,WOOD,15,,,
08-008B,1,7B,MUD,52,,,
08-008B,1,7B,ROCK,1,,,
08-008B,1,1B,DISTSPI,93,N,,
08-008B,1,1B,ATRIPAT,0.1,E,,
08-008B,1,1B,SALIPAC,0.1,N,,
08-008B,1,1B,SPERCAN,0.1,N,,
08-008B,1,1B,ROCK,7,,,
08-008B,1,2B,DISTSPI,82,N,,
08-008B,1,2B,SALIPAC,0.1,N,,
08-008B,1,2B,WOOD,1,,,
08-008B,1,2B,SAND,7,,,
08-008B,1,6B,DISTSPI,57,N,,
08-008B,1,6B,SPERCAN,0.1,N,,
08-008B,1,6B,SALIPAC,2,N,,
08-008B,1,6B,ROCK,1,,,
08-008B,1,6B,MUD,40,,,
