Site_Number,COMMUNITY,PLOT,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH_CM,COMMENTS
08-008D,1,1D,TRIGMAR,30,N,,
08-008D,1,1D,DISTSPI,1,N,,
08-008D,1,1D,SALIPAC,0.1,N,,
08-008D,1,1D,ELEOPAR,0.1,N,,
08-008D,1,1D,SPERCAN,0.1,N,,
08-008D,1,1D,MUD,65,,,
08-008D,1,1D,ROCK,4,,,
08-008D,1,2D,TRIGMAR,25,N,,
08-008D,1,2D,DISTSPI,0.1,N,,
08-008D,1,2D,SALIPAC,2,N,,
08-008D,1,2D,ELEOPAR,0.1,N,,
08-008D,1,2D,SPERCAN,0.1,N,,
08-008D,1,2D,MUD,70,,,
08-008D,1,2D,ROCK,3,,,
08-008D,1,3D,DISTSPI,60,N,,
08-008D,1,3D,SALIPAC,1,N,,
08-008D,1,3D,SPERCAN,1,N,,
08-008D,1,3D,LYSIMAR,0.1,N,,
08-008D,1,3D,MUD,30,,,
08-008D,1,3D,ROCK,8,,,
