"","pcMean","pcSD","pcMax","pcMin"
"AGROGIG",0.5,2.23606797749979,10,0
"ATHYFIL",0.5,2.23606797749979,10,0
"BIDECER",0.005,0.0223606797749979,0.1,0
"CARELYN",0.105,0.446595307208946,2,0
"CIRSARV",0.05,0.223606797749979,1,0
"ELEOPAL",3.75,15.6335502921391,70,0
"EQUIARV",0.055,0.223547946111178,1,0
"IMPACAP",3.21,9.38065759113429,40,0
"IRISPSE",0.205,0.521611874259416,2,0
"LITTER",59.45,34.3441943304909,97,4
"LOG",0.1,0.447213595499958,2,0
"LYTHSAL",0.265,1.1150997123222,5,0
"MARRVUL",0.005,0.0223606797749979,0.1,0
"MUD",6.71,12.797076146321,50,0
"PHALARU",13.9,23.9558804999173,70,0
"RORRIPA",0.005,0.0223606797749979,0.1,0
"SCRIMIC",3.555,13.401196922192,60,0
"SIUMSUA",0.005,0.0223606797749979,0.1,0
"TYPHANG",1.05,1.90497962414852,7,0
"TYPHGLA",2.85,5.44131369586813,20,0
"TYPHLAT",0.365,0.806731547340058,3,0
